,portfolio_return,std,len,month,sp500_close,sp500_return,excess_sp500_return,Mkt_RF,SMB,HML,RF,excess_rf_return
0,0.10353585714285714,0.21320321517387159,7.0,198001,114.160004,0.0,0.10353585714285714,0.055099999999999996,0.0165,0.0183,0.008,0.09553585714285714
1,-0.002719428571428567,0.1336138560826897,7.0,198002,113.660004,-0.004379818,0.0016603894285714326,-0.012199999999999999,-0.0182,0.0060999999999999995,0.0089,-0.011619428571428567
2,-0.21334185714285714,0.16400569946847232,7.0,198003,102.089996,-0.10179489300000001,-0.11154696414285713,-0.129,-0.0664,-0.0106,0.0121,-0.22544185714285714
3,0.039315,0.13551121834987193,7.0,198004,106.290001,0.041140221,-0.001825220999999995,0.0397,0.0097,0.0105,0.0126,0.026715000000000003
4,0.004724428571428572,0.06687180674708175,7.0,198005,111.239998,0.046570674000000006,-0.04184624542857143,0.0526,0.0216,0.0039000000000000003,0.008100000000000001,-0.003375571428571429
5,0.010088428571428573,0.14200483611935796,7.0,198006,114.239998,0.026968717000000003,-0.01688028842857143,0.030600000000000002,0.0168,-0.0089,0.0060999999999999995,0.003988428571428573
6,0.051607571428571426,0.13913942183874078,7.0,198007,121.66999799999999,0.065038517,-0.013430945571428578,0.0649,0.0425,-0.0634,0.0053,0.04630757142857143
7,0.04791528571428571,0.1857372530787459,7.0,198008,122.379997,0.005835448000000001,0.04207983771428571,0.018000000000000002,0.0391,-0.0264,0.0064,0.041515285714285706
8,0.12169457142857144,0.14570481619454353,7.0,198009,125.459999,0.025167527999999998,0.09652704342857145,0.0219,0.0087,-0.0475,0.0075,0.11419457142857145
9,0.08317571428571428,0.11290514991459909,7.0,198010,127.470001,0.016021059,0.06715465528571428,0.0106,0.024900000000000002,-0.0277,0.0095,0.07367571428571429
10,0.10257328571428571,0.276150228053931,7.0,198011,140.520004,0.10237705300000001,0.00019623271428570455,0.0959,-0.0349,-0.08439999999999999,0.0096,0.09297328571428572
11,-0.07518857142857142,0.14408474232762833,7.0,198012,135.759995,-0.033874245,-0.04131432642857143,-0.0452,-0.0028000000000000004,0.0271,0.0131,-0.08828857142857142
12,-0.00015247368421052504,0.13361254852152998,38.0,198101,129.550003,-0.045742429,0.04558995531578948,-0.0504,0.03,0.0682,0.0104,-0.010552473684210525
13,0.02123610810810811,0.10636895908967671,38.0,198102,131.270004,0.013276735,0.00795937310810811,0.005600000000000001,-0.003,0.0103,0.010700000000000001,0.010536108108108108
14,0.14213054054054053,0.19283930221928808,38.0,198103,136.0,0.036032573,0.10609796754054053,0.0356,0.0358,0.006999999999999999,0.0121,0.13003054054054053
15,0.06465083783783786,0.20632207943939299,37.0,198104,132.809998,-0.023455897000000003,0.08810673483783786,-0.021,0.0443,0.0231,0.0108,0.05385083783783785
16,0.06969672972972973,0.1960462828980625,37.0,198105,132.58999599999999,-0.0016565170000000001,0.07135324672972973,0.0011,0.020099999999999996,-0.0040999999999999995,0.0115,0.05819672972972974
17,0.020074189189189188,0.12649311515384673,37.0,198106,131.21000700000002,-0.010407942,0.030482131189189188,-0.0236,-0.0085,0.0509,0.013500000000000002,0.006574189189189186
18,-0.03203737837837839,0.10840262358662711,37.0,198107,130.919998,-0.0022102660000000002,-0.02982711237837839,-0.0154,-0.0217,-0.006,0.0124,-0.04443737837837839
19,-0.09707994594594595,0.11836125365496421,37.0,198108,122.790001,-0.06209897,-0.034980975945945944,-0.0703,-0.0196,0.0483,0.0128,-0.10987994594594595
20,-0.09973797297297297,0.09710766009391802,37.0,198109,116.18,-0.053831752999999996,-0.04590621997297298,-0.0717,-0.026600000000000002,0.0518,0.0124,-0.11213797297297297
21,0.08617721621621618,0.14098636107639298,37.0,198110,121.889999,0.049147865,0.037029351216216186,0.0492,0.0215,-0.042,0.0121,0.07407721621621619
22,0.011290351351351353,0.10459020624513989,37.0,198111,126.349998,0.03659036,-0.025300008648648648,0.0336,-0.0096,0.0191,0.010700000000000001,0.0005903513513513519
23,0.03555445945945946,0.1658550392442138,37.0,198112,122.550003,-0.030075149,0.06562960845945946,-0.0365,0.0118,0.0075,0.0087,0.02685445945945946
24,-0.004671631578947368,0.11354223402422532,39.0,198201,120.400002,-0.017543867,0.012872235421052633,-0.032400000000000005,-0.0129,0.0313,0.008,-0.012671631578947368
25,-0.03651239473684211,0.1402118008802512,39.0,198202,113.110001,-0.06054818,0.02403578526315789,-0.058600000000000006,0.0046,0.0604,0.0092,-0.04571239473684211
26,0.04868310526315791,0.15467715734791568,39.0,198203,111.959999,-0.010167111999999999,0.05885021726315791,-0.0187,-0.0018,0.0381,0.0098,0.03888310526315791
27,0.06703263157894736,0.12675514826911552,39.0,198204,116.440002,0.040014318,0.027018313578947357,0.0327,0.0152,-0.0279,0.0113,0.05573263157894736
28,-0.03739115789473685,0.1138876021123165,39.0,198205,111.879997,-0.039161842,0.001770684105263154,-0.039900000000000005,0.004699999999999999,0.0182,0.0106,-0.04799115789473685
